Summary
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Bernburg CEM I 42.5R 29.09.21"

"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-1932.34637260437,24.5503587896551,19.9994952327831,1.7016091623579E-06,NaN,4.25402290589475E-07,NaN,""
-1914.77215385437,24.5408297934535,19.9999022763268,1.72827993636991E-06,NaN,4.32069984092478E-07,NaN,""
-1904.25750541687,24.5372482681231,19.9999155659673,1.74423705038343E-06,NaN,4.36059262595858E-07,NaN,""
-1886.74871635437,24.5330118458725,19.9999376956195,1.71791909563869E-06,NaN,4.29479773909672E-07,NaN,""
-1868.59930229187,24.5464704672215,19.9999606349684,1.654734518855E-06,NaN,4.1368362971375E-07,NaN,""
-1855.52898979187,24.5796544034427,19.9999771547556,1.56560642556489E-06,NaN,3.91401606391221E-07,NaN,""
-1842.45867729187,24.5747702611729,19.9999664682688,1.36705392356838E-06,NaN,3.41763480892096E-07,NaN,""
-1833.48699760437,24.5443409885898,19.9999357189758,1.23076418687966E-06,NaN,3.07691046719916E-07,NaN,""
-1814.29852104187,24.5503154623421,19.9998699529087,9.53671223667483E-07,NaN,2.38417805916871E-07,NaN,""
-1792.11834526062,24.5572214237192,19.9998022655895,6.65280758133559E-07,NaN,1.6632018953339E-07,NaN,""
-1769.93816947937,24.5641273850963,19.9999182803791,4.12445800586319E-07,NaN,1.0311145014658E-07,NaN,""
-1741.76714897156,24.5697055540914,20.0000656306548,1.98406283479389E-07,NaN,4.96015708698471E-08,NaN,""
-1713.59612846375,24.5738281542782,20.0000671481627,-1.56332336275417E-08,NaN,-3.90830840688542E-09,NaN,""
-1678.3807964325,24.5789816322779,20.00002943502,6.52492620978527E-08,NaN,1.63123155244632E-08,NaN,""
-1677.59441947937,24.5790967121619,20.0000285928656,6.83660210980382E-08,NaN,1.70915052745096E-08,NaN,""
-1662.54949760437,24.5676483369714,20.0000124808129,-1.04764926440909E-08,NaN,-2.61912316102271E-09,NaN,""
-1646.55731010437,24.5554791436624,20.0002625532899,-9.4283126750355E-08,NaN,-2.35707816875888E-08,NaN,""
-1637.01824760437,24.5606280123975,20.0002811213875,-3.34634850927568E-08,NaN,-8.3658712731892E-09,NaN,""
-1625.84637260437,24.5870536707032,20.0002297258428,3.77667258575835E-08,NaN,9.44168146439588E-09,NaN,""
-1598.60223197937,24.5600730858469,20.0001043907986,2.11471308470572E-07,NaN,5.28678271176431E-08,NaN,""
-1582.87518119812,24.5698080600835,20.0000320394393,5.69378534437971E-09,NaN,1.42344633609493E-09,NaN,""
-1566.98016166687,24.5889976010922,19.9999589153499,-2.02281492072707E-07,NaN,-5.05703730181768E-08,NaN,""
-1566.22137260437,24.5899136624914,19.9999577359888,-2.12209719305409E-07,NaN,-5.30524298263524E-08,NaN,""
-1557.56512260437,24.5252240854385,19.9999442818617,-3.25470731133816E-07,NaN,-8.1367682783454E-08,NaN,""
-1539.76189994812,24.5516908731944,19.9999166108935,-2.60519674222492E-07,NaN,-6.5129918555623E-08,NaN,""
-1526.71453666687,24.5710874623067,19.9998963318023,-2.9595883327045E-07,NaN,-7.39897083176124E-08,NaN,""
-1518.60564994812,24.5772682171658,19.9998837284241,-4.41958580382663E-07,NaN,-1.10489645095666E-07,NaN,""
-1510.49676322937,24.5751172061088,19.999871125046,-5.29841740454877E-07,NaN,-1.32460435113719E-07,NaN,""
-1497.17840385437,24.5715842996482,19.9998504247544,-5.80834789039311E-07,NaN,-1.45208697259828E-07,NaN,""
-1472.86443901062,24.5651346341105,19.9998126343519,-8.53325478694421E-07,NaN,-2.13331369673605E-07,NaN,""
-1458.24139213562,24.5618616036582,19.9998751696832,-6.8797211920778E-07,NaN,-1.71993029801945E-07,NaN,""
-1442.86199760437,24.5601169495167,19.9999409395287,-3.37836700387961E-07,NaN,-8.44591750969903E-08,NaN,""
-1413.663022995,24.55680458817,20.0000657869784,-2.45759693187073E-07,NaN,-6.14399232967682E-08,NaN,""
-1376.14764213562,24.5525488052486,20.0002252075745,-1.27457456901568E-07,NaN,-3.1864364225392E-08,NaN,""
-1356.51727104187,24.5649381425399,19.9998535891375,8.54296193014058E-08,NaN,2.13574048253514E-08,NaN,""
-1342.73309135437,24.5795067604937,19.999667207256,2.34916029798382E-07,NaN,5.87290074495956E-08,NaN,""
-1319.25042533875,24.599363174233,19.99962935908,4.8092894765383E-07,NaN,1.20232236913458E-07,NaN,""
-1285.92254447937,24.5753128784209,19.9995756428836,3.48831996874844E-07,NaN,8.72079992187109E-08,NaN,""
-1280.13445854187,24.6005886727982,19.9996679503263,3.25890589156285E-07,NaN,8.14726472890712E-08,NaN,""
-1274.34637260437,24.6258644671754,19.9997603521707,3.02949181437726E-07,NaN,7.57372953594314E-08,NaN,""
-1258.45184135437,24.5947047676817,20.0000140947758,4.02867846683697E-07,NaN,1.00716961670924E-07,NaN,""
-1245.78387260437,24.5698704335804,20.0002163280685,5.71342066818245E-07,NaN,1.42835516704561E-07,NaN,""
-1235.18035697937,24.5652163471696,20.0002768730263,5.5046922861874E-07,NaN,1.37617307154685E-07,NaN,""
-1224.57684135437,24.567618617117,20.000323654553,5.29596390419235E-07,NaN,1.32399097604809E-07,NaN,""
-1206.72918510437,24.5716620768296,20.0004023964191,6.32602997167175E-07,NaN,1.58150749291794E-07,NaN,""
-1196.10223197937,24.5740696566387,20.0001447027981,6.36587269019673E-07,NaN,1.59146817254918E-07,NaN,""
-1187.59637260437,24.5759966939607,19.9999384437062,5.41562450164492E-07,NaN,1.35390612541123E-07,NaN,""
-1179.20550346375,24.5778976797735,19.99989677426,6.2372205827618E-07,NaN,1.55930514569045E-07,NaN,""
-1170.81463432312,24.5797986655864,19.9999098429151,7.05881666387867E-07,NaN,1.76470416596967E-07,NaN,""
-1153.41497612,24.5818826560884,19.9999369426264,5.25533542112117E-07,NaN,1.31383385528029E-07,NaN,""
-1136.01531791687,24.5651087396283,19.9999640423377,3.45185417836366E-07,NaN,8.62963544590916E-08,NaN,""
-1117.89019584656,24.5497561127755,19.9999922719483,1.90835651386634E-07,NaN,4.77089128466585E-08,NaN,""
-1092.0350933075,24.5904889508112,20.0000325408895,-2.93410195873331E-08,NaN,-7.33525489683327E-09,NaN,""
-1076.23357963562,24.5859158036369,19.9999568276696,-1.63903420620813E-07,NaN,-4.09758551552031E-08,NaN,""
-1074.17449760437,24.5835873818004,19.9999469615432,-1.81438134560469E-07,NaN,-4.53595336401172E-08,NaN,""
-1056.33270072937,24.5634117749935,19.9998614722718,1.79012814649177E-07,NaN,4.47532036622942E-08,NaN,""
-1033.93035697937,24.5678841022898,19.9997541310628,2.61116179890264E-08,NaN,6.5279044972566E-09,NaN,""
-1026.21551322937,24.5944826015038,19.9997171652585,-2.65439815582792E-08,NaN,-6.63599538956979E-09,NaN,""
-1003.81316947937,24.5932953252589,19.9998545385961,-1.15302299324463E-07,NaN,-2.88255748311158E-08,NaN,""
-975.262754440308,24.5917822144015,20.0000470771987,-7.27911865081054E-08,NaN,-1.81977966270264E-08,NaN,""
-952.609434127808,24.5934514287364,20.000199846909,-1.98802356919063E-07,NaN,-4.97005892297658E-08,NaN,""
-934.588926315308,24.5947792733766,20.0001433350209,-3.83448055428523E-07,NaN,-9.58620138571308E-08,NaN,""
-916.568418502808,24.5961071180169,19.9999333307333,-6.02731809837672E-07,NaN,-1.50682952459418E-07,NaN,""
-909.94012260437,24.5965955252957,19.9998560870411,-6.87515021802704E-07,NaN,-1.71878755450676E-07,NaN,""
-906.29949760437,24.6176707168397,19.9998136605531,-7.34082629192252E-07,NaN,-1.83520657298063E-07,NaN,""
-902.82293510437,24.6340717595299,19.9997731459883,-7.2171167714392E-07,NaN,-1.8042791928598E-07,NaN,""
-900.00262260437,24.5863738941224,19.9997577974853,-7.11675916044036E-07,NaN,-1.77918979011009E-07,NaN,""
-897.18231010437,24.5418643467513,19.9997816492782,-7.01640154944153E-07,NaN,-1.75410038736038E-07,NaN,""
-882.50652885437,24.5788663210592,19.9999057644939,-6.49418057364845E-07,NaN,-1.62354514341211E-07,NaN,""
-865.20867729187,24.5790854168286,20.0000520549394,-5.8786562095133E-07,NaN,-1.46966405237833E-07,NaN,""
-853.05877494812,24.5792393083217,20.0000782978807,-3.99495024729195E-07,NaN,-9.98737561822989E-08,NaN,""
-840.90887260437,24.5530879963704,19.9999772389315,-2.11124428507061E-07,NaN,-5.27811071267652E-08,NaN,""
