"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-2249.75555682182,24.537382286131,19.9995905767781,-1.49987326520988E-06,NaN,-3.49865468908299E-07,NaN,""
-2234.14618182182,24.5000229500923,19.9998519240903,-1.52302078053347E-06,NaN,-3.55264935977017E-07,NaN,""
-2225.11542010307,24.5027174475896,19.9998430001148,-1.50327037394771E-06,NaN,-3.506578898875E-07,NaN,""
-2204.03680682182,24.5090066480469,19.999682857878,-1.38695520926524E-06,NaN,-3.23525824414564E-07,NaN,""
-2180.30194354057,24.5150865666952,19.9995594526345,-1.47878669916831E-06,NaN,-3.44946745782204E-07,NaN,""
-2129.48407244682,24.5106999899598,19.9999107896437,-1.67540383409522E-06,NaN,-3.90810318193427E-07,NaN,""
-2116.75653338432,24.5096013542723,19.9998875266094,-1.74205181151522E-06,NaN,-4.06356848965528E-07,NaN,""
-2104.02899432182,24.5085027185847,19.9998029925812,-1.80869978893522E-06,NaN,-4.21903379737629E-07,NaN,""
-2090.49383807182,24.5158853397407,19.9997130945047,-1.59191876588277E-06,NaN,-3.71336311145968E-07,NaN,""
-2076.95868182182,24.5282524459283,19.999774392904,-1.37513774283032E-06,NaN,-3.20769242554308E-07,NaN,""
-2054.25555682182,24.5489963481397,20.0001757573454,-1.59519837564573E-06,NaN,-3.72101323920162E-07,NaN,""
-2050.38055682182,24.5525369453513,20.0002144746636,-1.57361376101988E-06,NaN,-3.67066424310679E-07,NaN,""
-2043.63055682182,24.5087162756326,20.0001417400987,-1.53601475489742E-06,NaN,-3.58295954023191E-07,NaN,""
-2039.84930682182,24.5033421464604,20.000100995273,-1.5647088097027E-06,NaN,-3.64989225496314E-07,NaN,""
-2027.75555682182,24.5029371451419,19.9999706791775,-1.65648235688982E-06,NaN,-3.86396630951673E-07,NaN,""
-2015.53583025932,24.5025279250597,19.9998390056227,-1.37227930262852E-06,NaN,-3.20102473204692E-07,NaN,""
-2008.81708025932,24.5023029243272,19.9998343192619,-1.33873147798911E-06,NaN,-3.12276995098928E-07,NaN,""
-1992.36493182182,24.501751966865,19.9998228438084,-1.32310416282699E-06,NaN,-3.08631715145089E-07,NaN,""
-1969.48993182182,24.5009859178595,19.9998068883847,-9.40191985007045E-07,NaN,-2.19312336134137E-07,NaN,""
-1945.90692400932,24.4872207321419,19.9997904391221,-9.07769802859893E-07,NaN,-2.1174942917189E-07,NaN,""
-1922.43994402885,24.4670168694322,19.9998741594773,-8.75507137070202E-07,NaN,-2.04223731530255E-07,NaN,""
-1922.32391619682,24.4669169754369,19.9998745908001,-8.7534762071274E-07,NaN,-2.04186522209643E-07,NaN,""
-1910.87567400932,24.4684389820623,19.9999171485842,-6.31700254248991E-07,NaN,-1.47352520235361E-07,NaN,""
-1899.42743182182,24.4930588420419,19.9999597063683,-3.88052887785243E-07,NaN,-9.05185182610783E-08,NaN,""
-1890.34149432182,24.5125984801252,19.9999910899893,-3.41855320378949E-07,NaN,-7.9742318726137E-08,NaN,""
-1881.25555682182,24.5050847857762,19.999919866385,-2.95657752972656E-07,NaN,-6.89661191911957E-08,NaN,""
-1866.13055682182,24.4773062333055,19.9998013032741,1.35367134853097E-08,NaN,3.15761919414736E-09,NaN,""
-1858.00555682182,24.5238144701208,19.9997376123467,1.79632914475126E-07,NaN,4.19017761780093E-08,NaN,""
-1845.81415057182,24.5236608271903,19.9996420453351,4.16021634946307E-07,NaN,9.7042602040193E-08,NaN,""
-1835.21063494682,24.5235271957468,19.9996875258211,6.11633540644929E-07,NaN,1.42671691309757E-07,NaN,""
-1818.1303126812,24.528478540278,19.9997673406105,6.09021321570597E-07,NaN,1.42062356326241E-07,NaN,""
