time,Temperature,Heat flow,Heat,Normalized heat flow,Normalized heat,Time markers
0.0,-1.4257034935749933,-0.00012224532386423986,-7.17615424452731e-07,5.5112221398931344e-05,-1.391529014423358e-05,
1.0,-1.376540193902342,-3.705554123402587e-05,-1.9373054277988654e-07,4.8930911760329956e-05,2.9113959563828423e-07,
2.0,-1.296237006813312,2.2387420390056043e-05,1.975684623312398e-07,3.9473108555106025e-05,7.1528455910801745e-06,
3.0,-1.1881355515475822,5.92679870021402e-05,4.541888315125536e-07,2.7523415669569332e-05,8.308779496608993e-06,
4.0,-1.0555774473448325,7.677058459636089e-05,5.740378053959601e-07,1.3866436990029597e-05,5.397892966741642e-06,
5.0,-0.901904313444742,7.807963916685228e-05,5.55022624613364e-07,-7.132235972034376e-07,5.9137655995011194e-08,
6.0,-0.7304577690869909,6.637957670774879e-05,3.950505297966717e-07,-1.5430962205820012e-05,-6.0685347811139914e-06,
7.0,-0.5445794335112585,4.4854823213184565e-05,9.202876157778782e-08,-2.9502174949510394e-05,-1.1346172690068474e-05,
8.0,-0.3476109259572247,1.6689804677293902e-05,-3.561354394113822e-07,-4.214225794196485e-05,-1.4134824416351555e-05,
9.0,-0.14289386566456852,-1.4931052905788864e-05,-9.515348325389332e-07,-5.2566607296873594e-05,-1.2795538305446302e-05,
10.0,0.0662301281270297,-4.682332354192952e-05,-1.6962621771729598e-06,-5.9990619127926945e-05,-5.6893627028358366e-06,
11.0,0.2764281511109266,-7.58022483825812e-05,-2.5883929158187775e-06,-6.362989154818116e-05,8.79215505799756e-06,
12.0,0.4854218058777861,-9.864279319527928e-05,-3.139907150585554e-06,-6.272446459398665e-05,2.856709009567127e-05,
13.0,0.6929807042816373,-0.00011204170296061125,-1.918715520829599e-06,-5.6561848152719426e-05,4.438625534899627e-05,
14.0,0.8991097613684728,-0.00011268673559002589,2.615738889387787e-06,-4.4435006094639296e-05,4.617699108080576e-05,
15.0,1.1038138921842835,-9.726564899497195e-05,1.2004012996005302e-05,-2.5636902290006057e-05,2.3866637553932904e-05,
16.0,1.307098011775061,-6.246620108689825e-05,2.7786663714961634e-05,5.394993909204514e-07,-3.261746496878906e-05,
17.0,1.5089670351867968,-5.060654289982468e-06,2.9604322207261817e-05,3.4760975906182654e-05,-0.0001133910227079177,
18.0,1.7094258774654827,7.784071092068193e-05,-7.700739661432288e-05,7.753326752703174e-05,-0.00012874192781757302,
19.0,1.9084794536571088,0.00018904029718530923,-9.742213928060203e-05,0.0001293209794948437,3.096286219013138e-05,
20.0,2.1061326788076675,0.0003309712257554604,0.0005316439628269022,0.00019047524636816966,0.0004689449811402482,
21.0,2.30239046796315,0.0005044124046754706,0.002165813903124999,0.0002609690636366105,0.001232739756100376,
22.0,2.4972577361695483,0.0007086935040539888,0.004812078451156697,0.00034057946622171665,0.0023216881332980242,
23.0,2.6907393984728536,0.000943028543385957,0.00846155099928334,0.0004290759972016792,0.003733077934124799,
24.0,2.8828403699190566,0.001206631542166318,0.013105344939866275,0.0005262281996546894,0.005464196979972302,
25.0,3.073565565554149,0.0014987165198900138,0.01873457366526685,0.000631805616658938,0.007512333092232142,
26.0,3.2629199004241234,0.0018184974960519865,0.02534035056784641,0.0007455777912926165,0.00987477409229592,
27.0,3.4509082895749708,0.0021651884901471782,0.0329137890399663,0.0008673142666339159,0.012548807801555243,
28.0,3.6375356480526815,0.0025380035216705328,0.04144600247398786,0.0009967845857610275,0.015531722041401711,
29.0,3.822806890903246,0.002936156610116991,0.05092810426227245,0.001133758291752142,0.018820804633226933,
30.0,4.0067269331726605,0.003358861774981496,0.061351207797181395,0.001278004927685451,0.022413343398422512,
31.0,4.18930068990691,0.00380533303575899,0.07270642647107607,0.0014292940366391457,0.02630662615838006,
32.0,4.3705330761519905,0.004274784411944414,0.08498487367631778,0.0015873951616914169,0.030497940734491163,
33.0,4.550429006953894,0.004766429923032711,0.09817766280526792,0.001752077845920456,0.034984574948147454,
34.0,4.728993397358608,0.005279483588518825,0.11227590725028776,0.0019231116324044534,0.039763816620740494,
35.0,4.906231162412125,0.005813159427897698,0.12727072040373877,0.002100266064221602,0.044832953573661946,
36.0,5.08214721716044,0.006366671460664268,0.1431532156579822,0.0022833106844500906,0.05018927362830336,
37.0,5.256746476649542,0.006939233706313483,0.1599145064053794,0.0024720150361681125,0.055830064606056384,
38.0,5.430033855925421,0.007530060184340284,0.17754570603829176,0.0026661486624538575,0.0617526143283126,
39.0,5.602014270034069,0.00813836491423961,0.19603792794908056,0.0028654811063855167,0.06795421061646359,
40.0,5.77269263402148,0.008763361915506408,0.2153822855301072,0.003069781911041282,0.074432141291901,
41.0,5.9420738629336425,0.009404265207635619,0.2355698921737331,0.003278820619499345,0.08118369417601644,
42.0,6.110162871816549,0.01006028881012218,0.2565918612723193,0.0034923667748378937,0.08820615709020144,
43.0,6.276964575716191,0.01073064674246104,0.27843930621822766,0.0037101899201351252,0.09549681785584772,
44.0,6.442483889678561,0.01141455302414714,0.30110334040381903,0.003932059598469225,0.10305296429434678,
45.0,6.606725728749648,0.012111221674675418,0.32457507722145496,0.004157745352918386,0.11087188422709027,
46.0,6.769695007975445,0.012819866713540825,0.34884563006349684,0.0043870167265608,0.11895086547546979,
47.0,6.931396642401945,0.013539702160238292,0.373906112322306,0.004619643262474657,0.12728719586087697,
48.0,7.091835547075137,0.014269942034262769,0.39974763739024366,0.004855394503738149,0.13587816320470336,
49.0,7.251016637041012,0.015009800355109201,0.42636131865967136,0.005094039993429469,0.14472105532834065,
