"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-1892.7337090969086,22.07985351482455,20.00005629580452,NaN,NaN,NaN,NaN,""
-1892.3341989517212,22.08214927656693,20.000055600702098,-2.102791242127337E-06,NaN,-4.892487766699247E-07,NaN,""
-1881.9279489517212,22.14194818510386,20.000037495005184,-2.022221622685417E-06,NaN,-4.7050293687422455E-07,NaN,""
-1874.8341989517212,22.17031743100543,20.000025152683264,-1.8826959858497046E-06,NaN,-4.3804001532101085E-07,NaN,""
-1867.7404489517212,22.175622133242737,20.000012810361348,-1.7431703490139921E-06,NaN,-4.0557709376779714E-07,NaN,""
-1847.0890817642212,22.191065213943787,19.999976879320375,-1.7664134598157528E-06,NaN,-4.1098498367048694E-07,NaN,""
-1823.6528024673462,22.20859085034489,20.000043948368777,-1.702991881369029E-06,NaN,-3.96228916093306E-07,NaN,""
-1794.9853219985962,22.215036731553322,20.000133281785057,-1.6254140014339155E-06,NaN,-3.781791534280865E-07,NaN,""
-1785.8498239517212,22.21638858249954,20.000119085463783,-1.6006921717146807E-06,NaN,-3.7242721538266187E-07,NaN,""
-1771.0216989517212,22.21858281588551,19.999916238468046,-1.3149312266585635E-06,NaN,-3.0594025748221583E-07,NaN,""
-1744.1994333267212,22.22255191587096,19.99954931304754,-1.3650952592895622E-06,NaN,-3.1761174017905123E-07,NaN,""
-1725.5519723892212,22.225311326204537,19.99986249525735,-1.2437982053366808E-06,NaN,-2.8938999658833893E-07,NaN,""
-1706.9045114517212,22.228070736538115,20.00026881610555,-1.1225011513837992E-06,NaN,-2.6116825299762663E-07,NaN,""
-1694.4386911392212,22.229915401262293,20.000517947191028,-6.764838856799505E-07,NaN,-1.5739504087481401E-07,NaN,""
-1681.9728708267212,22.229607850630074,20.000747578388044,-2.304666199761019E-07,NaN,-5.362182875200137E-08,NaN,""
