General Experiment Info
Bath temperature,20°C
,Sample - 213:2
Total mass,5.88g
Name,"Max"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"42.5R CEM I"
Wizard Settings
Devices

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
30.6131453514099,20,0.29637043849081,6.1051333758882,0.0740926096227025,1.52628334397205,""
31.6131453514099,20,0.300696084685285,6.40366663747625,0.0751740211713214,1.60091665936906,""
33.8631453514099,20,0.310393215596419,7.09114210029316,0.0775983038991047,1.77278552507329,""
35.6131453514099,20,0.3179354285273,7.64092966390142,0.079483857131825,1.91023241597535,""
36.6131453514099,20,0.321901255181785,7.96084800575596,0.0804753137954463,1.99021200143899,""
38.7381453514099,20,0.329376752544973,8.65283088896564,0.0823441881362432,2.16320772224141,""
41.6131453514099,20,0.339487152534356,9.61432275251717,0.0848717881335889,2.40358068812929,""
42.6131453514099,20,0.342738629957684,9.95543564376319,0.085684657489421,2.4888589109408,""
44.3631453514099,20,0.347671194722757,10.5595442403586,0.0869177986806893,2.63988606008965,""
46.6131453514099,20,0.354002776487953,11.3489274579706,0.0885006941219883,2.83723186449266,""
47.6131453514099,20,0.356803475200712,11.704330583815,0.0892008688001779,2.92608264595374,""
48.6131453514099,20,0.359205084823514,12.0623348638271,0.0898012712058786,3.01558371595677,""
50.8631453514099,20,0.36419555729538,12.8761605862108,0.091048889323845,3.21904014655271,""
52.6131453514099,20,0.368077035884609,13.5168991052433,0.0920192589711522,3.37922477631083,""
53.6131453514099,20,0.370150303260936,13.8860127748161,0.0925375758152339,3.47150319370402,""
54.6131453514099,20,0.371836057910745,14.2570059554019,0.0929590144776863,3.56425148885048,""
56.8631453514099,20,0.375581294447781,15.0978504768053,0.0938953236119452,3.77446261920132,""
58.6131453514099,20,0.378494256198809,15.757666583621,0.0946235640497022,3.93941664590526,""
59.6131453514099,20,0.380055153680239,16.1369412885606,0.0950137884200599,4.03423532214014,""
60.6131453514099,20,0.381261985684323,16.5175998582428,0.0953154964210807,4.12939996456071,""
62.8631453514099,20,0.383911112383493,17.3784195935691,0.0959777780958733,4.34460489839228,""
64.6131453514099,20,0.385971544260626,18.0520669181327,0.0964928860651564,4.51301672953318,""
65.6131453514099,20,0.387029547992203,18.4385674642592,0.0967573869980508,4.60964186606479,""
67.4881453514099,20,0.388494763142789,19.1656215059482,0.0971236907856973,4.79140537648705,""
70.6131453514099,20,0.39091409123311,20.3834478409105,0.0977285228082776,5.09586196022764,""
71.6131453514099,20,0.391521373291197,20.7746655731727,0.0978803433227993,5.19366639329318,""
73.3631453514099,20,0.392262056457123,21.4604760742025,0.0980655141142807,5.36511901855062,""
75.6131453514099,20,0.393214191275003,22.3441368529011,0.0983035478187507,5.58603421322528,""
76.6131453514099,20,0.393623257762663,22.73755557742,0.0984058144406657,5.68438889435499,""
77.6131453514099,20,0.393809266460257,23.1312718395314,0.0984523166150644,5.78281795988285,""
80.7381453514099,20,0.394149808910025,24.3624578947975,0.0985374522275062,6.09061447369937,""
